,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
French Guiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nicaragua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paraguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peru,0.04268,0.05228,0.04908,0.04908,0.04908,0.05015,0.05228,0.04396,0.04101,0.03774,0.01765,0.01706,0.0166,0.03149,0.03215,0.03051,0.03182,0.00787,0.01345,0.01345,0.01115,0.01214,0.01444,0.01706,0.02821,0.05184,0.0584,0.0876,0.11975,0.14779,0.23041
Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01294,0.02329,0.02329,0.02736,0.02514,0.02477,0.02662,0.02722,0.02982,0.02798,0.02843
Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent/Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,0.08465,0.08465,0.10659,0.13272,0.20064,0.22572,0.15884,0.14976,0.1609,0.16976,0.18497,0.21005,0.20297,0.22781,0.26092,0.2801,0.31627,0.34321,0.34321,0.35207,0.37015,0.4148,0.44211,0.47348,0.52219,0.60043,0.7451,0.74731,0.80968,0.77351,0.81484
Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uruguay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0.00148,0.00148,0.00074,0.00222,0.00444,0.00333,0.00444,0.00333,0.00259,0.00148,0.00296
Venezuela,0.61575,0.68125,0.7146,0.68602,0.72651,0.73604,0.80273,0.78249,0.78147,0.91531,0.90621,0.94503,0.90926,0.97067,1.04351,1.06025,1.14404,1.18357,1.32237,1.12637,1.14404,1.33373,1.19493,1.02627,1.14404,0.98606,1.09356,0.87607,0.93584,0.85088,0.89058
"Virgin Islands,  U.S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virgin Islands, British",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,10.64285,10.51413,10.55325,10.78758,11.33933,11.66896,12.01085,12.5675,12.29342,12.92807,13.02775,13.58082,13.26477,13.82736,13.95807,15.34564,16.54943,16.29654,16.61208,17.32697,17.81971,18.41606,18.63812,19.69939,20.40132,20.81978,20.79065,20.60628,21.03933,19.87395,21.15327
Albania,0.01047,0.01109,0.01047,0.0111,0.01131,0.01047,0.01466,0.01665,0.02589,0.02589,0.00943,0.00522,0.00376,0.00111,0.00111,0.00111,0.00111,0.00074,0.00111,0.00074,0.00111,0.00111,0.00111,0.00111,0.00111,0.00111,0.00111,0.00037,0.00111,0.00111,0.00111
Austria,0.18487,0.17273,0.16718,0.17055,0.18904,0.20285,0.19638,0.20516,0.1954,0.20943,0.23091,0.24168,0.23733,0.25032,0.25764,0.27855,0.29923,0.28838,0.29608,0.30107,0.28755,0.30451,0.30795,0.33298,0.32902,0.36074,0.32868,0.30762,0.32933,0.31587,0.36213
Belgium,0.39502,0.36335,0.29983,0.31623,0.32623,0.32559,0.29009,0.32345,0.318,0.35376,0.36275,0.38512,0.39691,0.41654,0.42589,0.47116,0.5247,0.50052,0.55122,0.58687,0.58985,0.58232,0.60015,0.63938,0.65156,0.64051,0.65927,0.6642,0.65969,0.66616,0.76285
Bosnia and Herzegovina,--,--,--,--,--,--,--,--,--,--,--,--,0.01754,0.01405,0.01451,0.08583,0.0049,0.0049,0.00701,0.00701,0.01051,0.01051,0.00561,0.00561,0.01051,0.01401,0.01401,0.01121,0.01086,0.00736,0.00736
Bulgaria,0.16992,0.1567,0.16992,0.1737,0.17086,0.20674,0.21218,0.21062,0.20847,0.21013,0.22726,0.198,0.18414,0.17026,0.16642,0.20607,0.21707,0.18043,0.13409,0.11865,0.19224,0.20435,0.16723,0.18963,0.18608,0.18956,0.19658,0.1176,0.11268,0.07274,0.07625
Croatia,--,--,--,--,--,--,--,--,--,--,--,--,0.10053,0.10863,0.0954,0.08578,0.09244,0.10353,0.09872,0.09835,0.10242,0.10501,0.09474,0.10954,0.09877,0.09661,0.09805,0.1001,0.10649,0.09619,0.10186
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,--,--,--,--,--,--,--,--,--,--,--,--,--,0.26141,0.241,0.28869,0.33238,0.33721,0.33769,0.3405,0.33041,0.35398,0.34239,0.34585,0.34347,0.33927,0.33373,0.31131,0.31261,0.29567,0.33559
Denmark,0,0,0,0.00222,0.00741,0.02931,0.04955,0.06346,0.07016,0.07485,0.0795,0.08954,0.09421,0.1068,0.1184,0.13961,0.1621,0.18508,0.19095,0.2021,0.20643,0.20412,0.20404,0.20649,0.20554,0.19743,0.20118,0.17968,0.18137,0.17404,0.19479
Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0.03251,0.02685,0.02409,0.02351,0.02803,0.0357,0.04377,0.058,0.06215,0.08187,0.09643,0.1015,0.10542,0.10911,0.12094,0.12496,0.1308,0.12861,0.14711,0.14711,0.15051,0.16313,0.16234,0.17962,0.17349,0.15897,0.17073,0.16395,0.1698,0.15362,0.16872
Former Czechoslovakia,0.33508,0.3367,0.35328,0.35846,0.3771,0.39927,0.41889,0.4463,0.41851,0.45331,0.53519,0.4909,0.40031,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Former Serbia and Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,0.07491,0.03557,0.06028,0.04085,0.10283,0.10175,0.10871,0.06393,0.02008,0.02226,0.08467,0.08134,0.08652,0.08874,--,--,--,--,--
Former Yugoslavia,0.14249,0.16485,0.16275,0.15809,0.208,0.22069,0.23766,0.27866,0.27353,0.30462,0.26313,0.26207,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
France,0.9301,0.96246,0.931,0.97381,1.03164,1.0634,1.07456,1.08991,1.05268,1.07038,1.08773,1.23192,1.24621,1.25571,1.24951,1.27498,1.40763,1.39625,1.42975,1.50156,1.57677,1.65326,1.69464,1.66336,1.76562,1.88129,1.92473,1.79043,1.87709,1.79536,1.83153
Germany,--,--,--,--,--,--,--,--,--,--,--,2.47897,2.44633,2.53269,2.65375,3.05739,3.06153,2.93357,3.04852,3.07851,3.04235,3.1811,3.15959,3.52304,3.49017,3.43319,3.48127,3.37976,3.44328,3.29233,3.4303
"Germany, East",0.19227,0.19422,0.1911,0.19344,0.22932,0.2262,0.23478,0.21645,0.23478,0.22932,0.13923,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"Germany, West",1.88966,1.78932,1.63747,1.68809,1.77245,1.74581,1.76978,1.93406,1.87723,1.99534,2.05297,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,0,0.0032,0.00305,0.00335,0.00288,0.00431,0.00432,0.00577,0.00577,0.00561,0.00588,0.00578,0.00411,0.00209,0.00189,0.00215,0.00755,0.03199,0.05377,0.07515,0.07423,0.07947,0.08936,0.09848,0.10388,0.12106,0.14702,0.15574,0.12957,0.14084
Hungary,0.35132,0.35924,0.37523,0.374,0.38079,0.38864,0.41231,0.40935,0.40507,0.41276,0.39203,0.38946,0.34194,0.36823,0.37198,0.40466,0.45117,0.42826,0.43097,0.43667,0.42456,0.47213,0.47345,0.5199,0.51241,0.53336,0.50656,0.47177,0.46597,0.40339,0.42945
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0.03232,0.04949,0.07373,0.07784,0.08274,0.08752,0.05935,0.05954,0.07169,0.0808,0.08266,0.08476,0.08374,0.09504,0.09671,0.10299,0.11681,0.12228,0.12363,0.13212,0.1515,0.15796,0.16143,0.16218,0.16528,0.15754,0.17819,0.19266,0.1953,0.19362,0.21268
Italy,0.99437,0.96416,0.96041,0.98752,1.16322,1.18206,1.24952,1.38765,1.50408,1.62392,1.72255,1.83003,1.81312,1.84962,1.78659,1.96863,2.03176,2.09466,2.25524,2.4512,2.55582,2.56283,2.54545,2.8064,2.91218,3.11652,3.05214,3.06709,3.06659,2.81879,2.99787
Luxembourg,0.01886,0.01434,0.01207,0.01145,0.01203,0.01309,0.01297,0.01511,0.0162,0.01834,0.0185,0.01969,0.02053,0.02133,0.02152,0.02457,0.02695,0.02763,0.0279,0.02892,0.02957,0.03062,0.04643,0.04694,0.05287,0.05192,0.0544,0.05301,0.04818,0.04907,0.05275
Macedonia,--,--,--,--,--,--,--,--,--,--,--,--,0.00948,0.01048,0,0,0,0,0.00071,0.00143,0,0,0,0,0.00358,0.00358,0.00358,0.00287,0.00251,0.00287,0.00286
Malta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montenegro,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0
Netherlands,1.33474,1.27037,1.35083,1.29854,1.37712,1.45223,1.44828,1.49477,1.35262,1.3857,1.37229,1.53321,1.49201,1.53214,1.47901,1.52065,1.67519,1.57599,1.56617,1.52428,1.54253,1.58126,1.57987,1.58679,1.61921,1.55661,1.51274,1.47089,1.53379,1.54748,1.73408
Norway,0.03832,0.03749,0.04176,0.04979,0.04416,0.05201,0.09377,0.06538,0.07602,0.07932,0.08728,0.08486,0.14274,0.09896,0.10338,0.11371,0.11327,0.14178,0.13794,0.16775,0.15184,0.1755,0.19987,0.23857,0.30389,0.20102,0.12772,0.16586,0.13101,0.24597,0.21664
Poland,0.3733,0.36143,0.35474,0.36067,0.37501,0.38128,0.41101,0.4242,0.42481,0.41735,0.38985,0.34952,0.3421,0.35918,0.3678,0.3851,0.43292,0.43378,0.43031,0.40847,0.44048,0.4507,0.44129,0.48541,0.51933,0.53995,0.54287,0.54098,0.54759,0.52655,0.56419
Portugal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0038,0.03048,0.08518,0.08913,0.09888,0.12038,0.11624,0.14566,0.16541,0.16038,0.16787,0.18102,0.18232,0.19843
Romania,1.33857,1.35569,1.50977,1.54722,1.49265,1.42952,1.5087,1.50366,1.39699,1.48125,1.34927,1.04936,0.94427,0.9083,0.85074,0.90053,0.89382,0.82575,0.64655,0.61906,0.59795,0.69292,0.64239,0.63186,0.63186,0.63888,0.65362,0.60167,0.55744,0.45132,0.45132
Serbia,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.08504,0.08134,0.08319,0.06194,0.08045
Slovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,0.22037,0.20607,0.27408,0.24222,0.24585,0.24997,0.25296,0.25478,0.27199,0.25859,0.25003,0.24254,0.26033,0.23707,0.22435,0.22789,0.19498,0.22487
Slovenia,--,--,--,--,--,--,--,--,--,--,--,--,0.02336,0.02879,0.02777,0.03696,0.0479,0.03333,0.03496,0.03584,0.03624,0.03732,0.0348,0.03638,0.03886,0.04033,0.03965,0.03947,0.03588,0.03667,0.03777
Spain,0.06395,0.0753,0.08136,0.08704,0.08266,0.0943,0.10005,0.1142,0.14745,0.19522,0.21888,0.24624,0.25967,0.2563,0.27303,0.34039,0.38093,0.49845,0.51173,0.58577,0.67084,0.72289,0.82652,0.93679,1.08748,1.28358,1.37722,1.40388,1.53967,1.37936,1.37396
Sweden,0,0,0,0,0,0.00295,0.00792,0.01088,0.01282,0.01884,0.02275,0.02374,0.02699,0.02986,0.02937,0.02969,0.03074,0.03091,0.03007,0.0339,0.03119,0.03506,0.03537,0.03702,0.03549,0.03302,0.03306,0.03669,0.03438,0.0494,0.06664
Switzerland,0.03781,0.04088,0.04354,0.04786,0.05336,0.05591,0.05723,0.06136,0.06181,0.06731,0.07197,0.08073,0.08492,0.08905,0.0878,0.0968,0.10474,0.10113,0.10413,0.10788,0.10727,0.11163,0.10958,0.11582,0.1195,0.12268,0.11928,0.11614,0.12376,0.11892,0.13289
Turkey,0,0,0.00103,0.00258,0.00145,0.00206,0.01646,0.02675,0.0442,0.11719,0.1259,0.15382,0.16823,0.18696,0.19771,0.25518,0.30806,0.36754,0.38931,0.46189,0.548,0.58953,0.64969,0.78167,0.82507,1.00445,1.14528,1.34161,1.33812,1.27481,1.38387
United Kingdom,1.77689,1.80746,1.79849,1.87084,1.91938,2.05849,2.08666,2.14761,2.03708,2.01538,2.08371,2.24462,2.19828,2.50645,2.65165,2.83483,3.35408,3.19687,3.25907,3.49351,3.60267,3.56496,3.60908,3.58011,3.74576,3.60531,3.43144,3.4549,3.56701,3.33648,3.57921
Eurasia,13.86112,14.42556,15.50648,16.80518,19.10438,20.95166,22.08157,23.04625,24.71792,25.16631,25.60999,25.31417,24.19782,24.08864,22.02476,20.91598,21.21044,20.08705,20.29896,20.47319,20.90033,21.19313,21.67829,22.67384,23.72618,24.04968,24.05064,24.58106,24.64155,21.72578,24.2107
Armenia,--,--,--,--,--,--,--,--,--,--,--,--,0.06877,0.05176,0.05916,0.05916,0.06656,0.04807,0.05176,0.0477,0.05213,0.05176,0.0403,0.04881,0.04918,0.06286,0.06286,0.07595,0.07136,0.05731,0.06397
Azerbaijan,--,--,--,--,--,--,--,--,--,--,--,--,0.54723,0.40673,0.34756,0.33278,0.34387,0.33869,0.20669,0.22185,0.20928,0.24847,0.32923,0.33627,0.36332,0.3794,0.41303,0.33897,0.4388,0.38186,0.36437
Belarus,--,--,--,--,--,--,--,--,--,--,--,--,0.66981,0.62184,0.516,0.46876,0.5127,0.55299,0.56507,0.63026,0.71782,0.65919,0.62037,0.65772,0.6006,0.74342,0.76796,0.79689,0.77828,0.65066,0.79986
Estonia,--,--,--,--,--,--,--,--,--,--,--,--,0.05276,0.02125,0.02267,0.02636,0.02885,0.03743,0.05656,0.03535,0.03967,0.04498,0.04737,0.04984,0.0509,0.05373,0.052,0.05232,0.05338,0.02308,0.02478
Former U.S.S.R.,13.86112,14.42556,15.50648,16.80518,19.10438,20.95166,22.08157,23.04625,24.71792,25.16631,25.60999,25.31417,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,--,--,--,--,--,--,--,--,--,--,--,--,0.18488,0.08874,0.05916,0.07765,0.06656,0.07025,0.06877,0.04289,0.04474,0.04289,0.05326,0.03732,0.04457,0.05344,0.05109,0.06123,0.06268,0.06286,0.06066
Kazakhstan,--,--,--,--,--,--,--,--,--,--,--,--,0.74319,0.54723,0.55462,0.40145,0.53392,0.51765,0.49546,0.50286,0.51395,0.52874,0.55092,0.33632,0.50541,0.49909,0.54593,0.46185,0.32793,0.31872,0.3175
Kyrgyzstan,--,--,--,--,--,--,--,--,--,--,--,--,0.08756,0.08187,0.06579,0.03253,0.06745,0.07099,0.07077,0.07062,0.07073,0.07454,0.04437,0.02725,0.03398,0.02736,0.02869,0.02841,0.02773,0.02423,0.0171
Latvia,--,--,--,--,--,--,--,--,--,--,--,--,0.05673,0.02836,0.02482,0.03889,0.03532,0.04582,0.046,0.04565,0.05662,0.06016,0.0601,0.06357,0.06745,0.06851,0.0671,0.07204,0.04485,0.05509,0.05368
Lithuania,--,--,--,--,--,--,--,--,--,--,--,--,0.14267,0.08561,0.08203,0.09898,0.092,0.10293,0.11403,0.07625,0.09173,0.09737,0.10196,0.1069,0.10302,0.10725,0.10266,0.12136,0.12454,0.09631,0.10937
Moldova,--,--,--,--,--,--,--,--,--,--,--,--,0.08266,0.06764,0.0526,0.0526,0.07515,0.09018,0.0868,0.07891,0.08004,0.07703,0.08267,0.08724,0.07955,0.08981,0.09714,0.08944,0.09238,0.08541,0.07955
Russia,--,--,--,--,--,--,--,--,--,--,--,--,16.61336,16.31434,15.33541,14.63797,14.6344,13.55473,14.17118,14.13911,14.2567,14.54176,14.69854,15.42902,16.16662,16.29846,16.74743,16.89709,16.95054,15.92811,17.94992
Tajikistan,--,--,--,--,--,--,--,--,--,--,--,--,0.07025,0.05176,0.05916,0.02984,0.04541,0.04215,0.04141,0.04326,0.04622,0.04807,0.044,0.04992,0.05136,0.05287,0.04718,0.03106,0.0159,0.00839,0.00836
Turkmenistan,--,--,--,--,--,--,--,--,--,--,--,--,0.1479,0.1516,0.15529,0.17748,0.17748,0.17008,0.16269,0.20706,0.27361,0.35496,0.42521,0.5805,0.61267,0.65815,0.66924,0.72027,0.77647,0.74134,0.75429
Ukraine,--,--,--,--,--,--,--,--,--,--,--,--,3.61886,4.00599,3.4431,3.10958,3.07261,2.96538,2.72874,2.88403,2.90992,2.73983,2.90992,3.16504,3.19462,3.2242,2.59933,3.02084,2.98756,1.63281,1.96558
Uzbekistan,--,--,--,--,--,--,--,--,--,--,--,--,1.11119,1.56392,1.24739,1.37196,1.45816,1.47971,1.43302,1.44739,1.53718,1.62337,1.67006,1.69811,1.80295,1.73112,1.799,1.81333,1.88915,1.65958,1.64173
Middle East,1.37322,1.36163,1.27208,1.49705,1.99385,2.3848,2.65129,3.06968,3.436,3.75486,3.76656,3.76872,4.20387,4.47254,4.75215,4.95993,5.52249,6.12541,6.52893,6.7532,7.14445,7.38901,8.04721,8.39318,9.03441,10.3185,10.77963,11.20972,12.24792,13.13117,13.91024
Bahrain,0.1047,0.12564,0.13611,0.14658,0.13925,0.17171,0.18846,0.22668,0.19042,0.19485,0.21464,0.24395,0.19671,0.24477,0.23996,0.23996,0.24292,0.29469,0.30652,0.31096,0.31687,0.32908,0.34978,0.3557,0.3605,0.396,0.41892,0.43556,0.45886,0.46145,0.45294
Iran,0.24499,0.16368,0.2112,0.32736,0.50266,0.6336,0.56602,0.59664,0.74727,0.82946,0.88387,0.85642,0.93232,0.99087,1.18591,1.31269,1.49581,1.75648,1.92989,2.2301,2.34533,2.6172,2.9547,3.07291,3.19001,3.91498,4.05408,4.21556,4.44864,5.27318,5.39177
Iraq,0.06491,0.02403,0.02513,0.01885,0.02094,0.02408,0.02827,0.03709,0.09244,0.09244,0.08062,0.04083,0.10575,0.09429,0.1172,0.11721,0.1198,0.11277,0.10908,0.11758,0.11647,0.10205,0.08726,0.04067,0.06471,0.05361,0.06655,0.05398,0.06951,0.04248,0.04807
Israel,0.0052,0.00519,0.00312,0.00208,0.00208,0.00208,0.00145,0.00218,0.00147,0.00147,0.0011,0.0011,0.00079,0.0011,0.0011,0.00074,0.00073,0.00073,0.00073,0.00035,0.00035,0.00035,0.00034,0.00071,0.02752,0.02611,0.03422,0.04022,0.0508,0.10374,0.13174
Jordan,0,0,0,0,0,0,0,0,0,0.00296,0.00481,0.00481,0.00555,0.00739,0.01035,0.01072,0.00998,0.01072,0.01035,0.01035,0.01072,0.01072,0.01146,0.0244,0.05213,0.05768,0.08319,0.09613,0.10834,0.11351,0.10131
